_id,writer,option,rate,contents
658b9bb6ccc03d2612d898fa,bin6***,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,용량커서 좋고 텐티스테 기좀에 많이쓰던것보다 플러스화이트가 좀더 순한것 같아요 시원하고 개운한 느낌 좋아요
658b9bb6ccc03d2612d898fc,돈나무언니,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 4,양치후 개운함이 좀 오래가는거 같습니다 구취에도 좋은거 같구요  치약 농도는 짙지 않은데 튜브 짜기는 좀 힘드네요 성능에 비해 가격은 좀 센편인듯해요  글구  젤 불만은 치약마다 끼워둔 상표입니다 개별 박스 포장이 없어서 그런지 라벨을 끼워뒀는데 상표 종이 재활용도 안되는 재질이라 이점이 좀 불만스럽네요
658b9bb6ccc03d2612d898fe,nmor**,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,덴티스테 뉴플러스 화이트 양치 후 입 안이 상쾌하고 깔끔해서 항상 잘 쓰고 있어요.
658b9bb6ccc03d2612d89900,하늘사랑이,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,덴티스테 화이트치약 좋아용 개운함이 오래가서 다른치약은 못쓰겠어요 추천합니다 
658b9bb6ccc03d2612d89902,rkwo****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,이 치약은 한번 쓰면 계속 쓰게 됩니다. 상쾌하고 오래 지속되어서 아주 좋습니다!!
658b9bb6ccc03d2612d89904,아마존못참지,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,센소다인 너무 물같아서 이것도 사서 쓰는데 개인적으로 더 맘에 들어요 사은품도 큰거주네요
658b9bb7ccc03d2612d89906,hoho****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,리뉴얼 되서 좋네요 늘 쓰던거에요\n이거말고 딴건 못써요 ㅎ\n비싼게 문제 ㅜㅜ
658b9bb7ccc03d2612d89908,바니1,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,가격쌀때 구매해서 완전좋아요~리뉴얼되었네요ㅎ
658b9bb7ccc03d2612d8990a,13자안에,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,가장 좋타하는 치약입니다\n리뉴얼되었다고해서 구매해봤어요
658b9bb7ccc03d2612d8990c,hye9***,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,항상 쓰는 제품..저렴하게 잘샀어요
658b9bb7ccc03d2612d8990e,jaws****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 4,계속 쓰던 치약이예요\n치약입구도 바뀌고 더 만족스러워요 잘 쓸께요
658b9bb7ccc03d2612d89910,hiro*****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,"집에 치약이 마침 다 떨어져서 무엇을 살까 고민했는데 예전에 울집아저씨가 이 치약을 외국에서 일부러 사다 썼던게 기억이 나서 사봤어요. 시중 치약보다 값은 나가지만 그만큼 값은 할거고, 사용자들의 리뷰 평이 좋아서 겸사겸사 사봤어요. 반응좋으면 이 치약으로 정착해볼려고요."
658b9bb7ccc03d2612d89912,믿듣탱,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,"오랜기간 꾸준히 써오는 덴티스테인데, 성능은 좋고 입구 뚜껑도 개선되서 너무 좋습니다."
658b9bb7ccc03d2612d89914,rada******,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,울아들이 좋아하는 치약이라서 계속 쓰게 되었는데 임플란트후에 사용하면서 더 좋은걸 알게됐어요\n좋은가격 빠른배송 감사함다
658b9bb7ccc03d2612d89916,lee1***,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,리뉴얼된 제품으로 와서 좋음..원래 쓰던 상품이라 좋은거 알고..구성이좋구 가성비 좋게 샀어요..감사해요
658b9bb8ccc03d2612d89918,gane*****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,늘 쓰는 치약이에요 입안이 개운해요
658b9bb8ccc03d2612d8991a,레오네,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,양치후 아침 입냄새도 좋다고해서 사용중인데 \n200g짜리로 사봤네요. 유효기간도 길어요.
658b9bb8ccc03d2612d8991c,ditt****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,재구매입니다~매일 세 번 닦으면 이가 닳는 느낌이 들 정도로 개운해서 저녁은 이 제품을 꼭 사용합니다~용기만 바뀌었구요~여전히 개운합니다~
658b9bb8ccc03d2612d8991e,luck*****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 4,빠른배송 잘 받았습니다. 증정품도 같은 제품이면 더 좋았을 것 같습니다. 
658b9bb8ccc03d2612d89920,yjs0*****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,5년이상 사용한 제품이네요\n향도좋구 저희남편도 덴티스테가 젤 좋데요
658b9bb8ccc03d2612d89922,litt*****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,늘 만족하는\n최고의 치약입니다.너무 좋아요.
658b9bb8ccc03d2612d89924,mhch****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,용기가 바뀌었네요 사용전이지만 좋을것같네요
658b9bb8ccc03d2612d89926,1918***************,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,이 제품만 쓰거든요\n입안이 개운해서 좋아요
658b9bb8ccc03d2612d89928,yeji*****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,잘받았습니다  시원하게 느낌이 좋아요
658b9bb8ccc03d2612d8992a,곰지몽이두부애비,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,"케이스가 바뀌었네요. 전에거는 뚜껑이 너무 잘 뜯어졌는데, 이건 좀 더 튼튼해보여요. 개선된것같네요. 이거 계속쓰다가 바꿨는데 다시돌아왔어요. 개운함이 다르고 사용감이 이거만한게 없어요. 좀 비싸지만 양이 많고 좋아 다시 돌아왔어요.인터넷이나 오프나 가격이 비슷한데 덤을주네요~ 덤은 회사에서 쓰려구요 "
